Employee Number,username,email,raw_password,Employee Name,Age,Department,Position,Employment Status,Manager Name
1001109612,1001109612,jeneya.darson@company.com,zZuy4EGLtY,"Darson, Jene'ya ",47.4,Production       ,Production Technician I,Active,Elijiah Gray
1306058816,1306058816,james.degweck@company.com,o8kV8$wGsu,"DeGweck,  James",48.4,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1501072124,1501072124,carl.desimone@company.com,7umx9NpE@8,"Desimone, Carl ",59.0,Production       ,Production Technician I,Active,Amy Dunn
706006285,706006285,geoff.dickinson@company.com,Y0n6PTFyVp,"Dickinson, Geoff ",43.4,Production       ,Production Technician I,Active,Ketsia Liebig
1209048696,1209048696,lily.dinocco@company.com,@#R^6!rF51,"DiNocco, Lily ",47.3,Production       ,Production Technician I,Active,Brannon Miller
1202031618,1202031618,denisa  s.dobrin@company.com,lR#hG$*Qtq,"Dobrin, Denisa  S",39.5,Production       ,Production Technician I,Active,David Stanley
1406067865,1406067865,marianne.eaton@company.com,NO3M3^@n3q,"Eaton, Marianne",34.6,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1007020403,1007020403,jean.engdahl@company.com,ojKYb$7$R7,"Engdahl, Jean",51.8,Production       ,Production Technician I,Active,Kelley Spirea
1101023612,1101023612,rex.england@company.com,ji9tb86bbu,"England, Rex",47.6,Production       ,Production Technician I,Active,Kelley Spirea
1104025243,1104025243,miguel.estremera@company.com,lbBW9O&4%9,"Estremera, Miguel",42.6,Production       ,Production Technician I,Terminated for Cause,Michael Albert
1107027392,1107027392,april.evensen@company.com,k^UMbGK%XO,"Evensen, April",36.9,Production       ,Production Technician I,Terminated for Cause,Elijiah Gray
1502072511,1502072511,susan.ferguson@company.com,3VVKNv5wm4,"Ferguson, Susan",71.0,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1302053339,1302053339,nilson.fernandes@company.com,Yj46c6$ap2,"Fernandes, Nilson  ",36.5,Production       ,Production Technician I,Active,Amy Dunn
803009012,803009012,violeta.ferreira@company.com,4^r2QShbZN,"Ferreira, Violeta",39.8,Production       ,Production Technician I,Active,Ketsia Liebig
1006020020,1006020020,libby.fidelia@company.com,yzi#MsyZFJ,"Fidelia,  Libby",45.1,Production       ,Production Technician I,Active,Brannon Miller
1309061015,1309061015,raul.garcia@company.com,UPaQMB5kag,"Garcia, Raul",40.6,Production       ,Production Technician I,Active,David Stanley
1104025414,1104025414,hamish.garneau@company.com,I%Z&oqJrrT,"Garneau, Hamish",46.0,Production       ,Production Technician I,Active,Kissy Sullivan
1105026041,1105026041,barbara.gaul@company.com,dXhe3^kFxm,"Gaul, Barbara",42.3,Production       ,Production Technician I,Active,Kelley Spirea
1501072192,1501072192,mildred.gentry@company.com,HlxrDvRW99,"Gentry, Mildred",35.5,Production       ,Production Technician I,Active,Michael Albert
1308060622,1308060622,melisa.gerke@company.com,64m9CJi$Qm,"Gerke, Melisa",55.9,Production       ,Production Technician I,Voluntarily Terminated,Elijiah Gray
1008020960,1008020960,alex.gilles@company.com,@yX6LyGZ$y,"Gilles, Alex",51.7,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1204032927,1204032927,evelyn.girifalco@company.com,Dchi8ZfHXz,"Girifalco, Evelyn",45.9,Production       ,Production Technician I,Active,Amy Dunn
1408069539,1408069539,shenice.gold@company.com,gb*2wHryJE,"Gold, Shenice  ",33.8,Production       ,Production Technician I,Active,Ketsia Liebig
1411071212,1411071212,cayo.gonzalez@company.com,XRc21PGQ8r,"Gonzalez, Cayo",56.5,Production       ,Production Technician I,Active,Brannon Miller
1106026579,1106026579,david.gordon@company.com,nNIVEMTG44,"Gordon, David",46.9,Production       ,Production Technician I,Active,David Stanley
1312063675,1312063675,roxana.goyal@company.com,V072ZdF#I#,"Goyal, Roxana",51.5,Production       ,Production Technician I,Active,Kissy Sullivan
1103024859,1103024859,paula.gross@company.com,%kHFMy*NvA,"Gross, Paula",42.9,Production       ,Production Technician I,Voluntarily Terminated,Kelley Spirea
1405067064,1405067064,joanne.handschiegl@company.com,$UIHYNIcLb,"Handschiegl, Joanne",49.0,Production       ,Production Technician I,Active,Michael Albert
1406068241,1406068241,ludwick.harrell@company.com,KfV9L8wR1t,"Harrell, Ludwick",43.6,Production       ,Production Technician I,Active,Elijiah Gray
1110029602,1110029602,christie.harrington@company.com,F$2fK#2hsU,"Harrington, Christie ",73.6,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1404066622,1404066622,kara.harrison@company.com,wazW*8zKU2,"Harrison, Kara",51.9,Production       ,Production Technician I,Active,Amy Dunn
1002017900,1002017900,anthony.heitzman@company.com,$aMEaR@YVV,"Heitzman, Anthony",42.2,Production       ,Production Technician I,Active,Ketsia Liebig
1408069882,1408069882,rose.ivey@company.com,4FyZPqYbTg,"Ivey, Rose ",35.2,Production       ,Production Technician I,Active,Brannon Miller
1201031438,1201031438,maryellen.jackson@company.com,gVi4!eJKVI,"Jackson, Maryellen",53.6,Production       ,Production Technician I,Active,David Stanley
1503072857,1503072857,hannah.jacobi@company.com,#t6TfBnF11,"Jacobi, Hannah  ",60.0,Production       ,Production Technician I,Active,Kissy Sullivan
1412071713,1412071713,sneha.jhaveri@company.com,eJy6RcfGs*,"Jhaveri, Sneha  ",62.0,Production       ,Production Technician I,Active,Kelley Spirea
1105025721,1105025721,george.johnson@company.com,aQA$HkZb64,"Johnson, George",66.6,Production       ,Production Technician I,Voluntarily Terminated,Michael Albert
1107027450,1107027450,judy.jung@company.com,KzInL%dX4A,"Jung, Judy  ",40.0,Production       ,Production Technician I,Voluntarily Terminated,Elijiah Gray
1301052462,1301052462,kramer.keatts@company.com,lc5w18o7oJ,"Keatts, Kramer ",50.2,Production       ,Production Technician I,Active,Michael Albert
710007401,710007401,kathleen.kinsella@company.com,H$WY%q*&$d,"Kinsella, Kathleen  ",52.3,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
903013071,903013071,alexandra.kirill@company.com,fSYShgmkzJ,"Kirill, Alexandra  ",55.5,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1304055683,1304055683,bradley  j.knapp@company.com,I22wRkMrN4,"Knapp, Bradley  J",48.4,Production       ,Production Technician I,Active,Ketsia Liebig
1311062610,1311062610,john.kretschmer@company.com,fg3X#3#nUf,"Kretschmer, John",46.2,Production       ,Production Technician I,Active,Brannon Miller
1304055987,1304055987,enrico.langton@company.com,!lVzX&gQ^U,"Langton, Enrico",39.3,Production       ,Production Technician I,Active,David Stanley
1408069409,1408069409,dallas.leach@company.com,lPP5HT!IJk,"Leach, Dallas",47.2,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1107027575,1107027575,jonathan  r.lebel@company.com,RvGL3jm8c@,"LeBel, Jonathan  R",44.5,Production       ,Production Technician I,Terminated for Cause,Kelley Spirea
1206042315,1206042315,marilyn.linares@company.com,X7fJj!Ng4Z,"Linares, Marilyn ",45.0,Production       ,Production Technician I,Voluntarily Terminated,Michael Albert
1101023353,1101023353,allison.lydon@company.com,ppYAC%8caI,"Lydon, Allison",50.5,Production       ,Production Technician I,Active,Elijiah Gray
1001138521,1001138521,lindsay.lynch@company.com,fFwRiMR$56,"Lynch, Lindsay",53.1,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1201031032,1201031032,samuel.maclennan@company.com,pauOprz8!T,"MacLennan, Samuel",53.4,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1209049259,1209049259,lauren.mahoney@company.com,FW$nABt!#@,"Mahoney, Lauren  ",39.7,Production       ,Production Technician I,Active,Ketsia Liebig
1308060754,1308060754,debbie.mangal@company.com,whzboq9NuO,"Mangal, Debbie",51.4,Production       ,Production Technician I,Active,Brannon Miller
1401064327,1401064327,shana.maurice@company.com,QG8J*cE99G,"Maurice, Shana",48.4,Production       ,Production Technician I,Active,David Stanley
909015167,909015167,sandy.mckenna@company.com,PjT0csn!gz,"Mckenna, Sandy",39.2,Production       ,Production Technician I,Active,Kissy Sullivan
1409070245,1409070245,elizabeth.meads@company.com,L4r9sup^*e,"Meads, Elizabeth",57.8,Production       ,Production Technician I,Voluntarily Terminated,Kelley Spirea
1109029256,1109029256,jennifer.medeiros@company.com,oyKKaHUalL,"Medeiros, Jennifer",49.5,Production       ,Production Technician I,Active,Michael Albert
1102024121,1102024121,dawn.motlagh@company.com,3E7F4ZJI6t,"Motlagh,  Dawn",41.7,Production       ,Production Technician I,Active,Elijiah Gray
1204033041,1204033041,colombui.ndzi@company.com,l3X#894XMx,"Ndzi, Colombui",36.9,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1204033041,1204033041,horia.ndzi@company.com,vbaGcV0cQp,"Ndzi, Horia",43.0,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1302053044,1302053044,richard.newman@company.com,cTft11jsS3,"Newman, Richard ",49.0,Production       ,Production Technician I,Active,Ketsia Liebig
1403066020,1403066020,shari.ngodup@company.com,8Kr#pyDMCi,"Ngodup, Shari ",58.8,Production       ,Production Technician I,Active,Brannon Miller
1203032357,1203032357,lei-ming.nguyen@company.com,IYBmffcHus,"Nguyen, Lei-Ming",41.7,Production       ,Production Technician I,Active,David Stanley
1206044851,1206044851,lynn.ohare@company.com,^Hxd!ixN16,"O'hare, Lynn",45.5,Production       ,Production Technician I,Terminated for Cause,Kissy Sullivan
1404066949,1404066949,adeel.osturnka@company.com,@MNeIf4uFb,"Osturnka, Adeel",49.3,Production       ,Production Technician I,Active,Kelley Spirea
1103024335,1103024335,clinton.owad@company.com,e0sxPd@vED,"Owad, Clinton",46.4,Production       ,Production Technician I,Active,Michael Albert
1109029531,1109029531,nina.panjwani@company.com,&XNotHyv0u,"Panjwani, Nina",46.9,Production       ,Production Technician I,Voluntarily Terminated,Elijiah Gray
1307060058,1307060058,emil.pelech@company.com,mw59Cjm9^h,"Pelech, Emil",38.0,Production       ,Production Technician I,Voluntarily Terminated,Webster Butler
1109029186,1109029186,shakira.perry@company.com,mWVJbprNUR,"Perry, Shakira",39.7,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1307059944,1307059944,kayla.peterson@company.com,okbNLiKuYL,"Peterson, Kayla ",52.5,Production       ,Production Technician I,Active,Ketsia Liebig
1305057440,1305057440,hong.pham@company.com,L#rDnLEXjE,"Pham, Hong",38.1,Production       ,Production Technician I,Voluntarily Terminated,Brannon Miller
1001735072,1001735072,brad.pitt@company.com,3FemaWjkyE,"Pitt, Brad ",44.4,Production       ,Production Technician I,Active,David Stanley
1102024274,1102024274,morissa.power@company.com,u1Oa$hYbFw,"Power, Morissa",41.5,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1401064562,1401064562,louis.punjabhi@company.com,E$*Dq1TrFN,"Punjabhi, Louis  ",64.8,Production       ,Production Technician I,Active,Kelley Spirea
1011022926,1011022926,janine.purinton@company.com,A!8&hSjr&^,"Purinton, Janine",55.5,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1208048229,1208048229,quinn.rarrick@company.com,CKX3eostLD,"Rarrick, Quinn",41.3,Production       ,Production Technician I,Voluntarily Terminated,Michael Albert
1211050793,1211050793,thomas.rhoads@company.com,qaT&aX#WhM,"Rhoads, Thomas",43.7,Production       ,Production Technician I,Voluntarily Terminated,Elijiah Gray
1405067642,1405067642,haley.rivera@company.com,tqk3Hs7EQW,"Rivera, Haley  ",53.2,Production       ,Production Technician I,Active,Webster Butler
1206038000,1206038000,alain.robinson@company.com,fQ9DMQhGAk,"Robinson, Alain  ",52.2,Production       ,Production Technician I,Voluntarily Terminated,Amy Dunn
1403065625,1403065625,cherly.robinson@company.com,xAGiNd62dX,"Robinson, Cherly",41.2,Production       ,Production Technician I,Terminated for Cause,Ketsia Liebig
1011022887,1011022887,elias.robinson@company.com,y*pj&g285F,"Robinson, Elias",41.2,Production       ,Production Technician I,Active,Brannon Miller
710007555,710007555,ashley.rose@company.com,&ptgzESo45,"Rose, Ashley  ",51.3,Production       ,Production Technician I,Active,David Stanley
1405067492,1405067492,bruno.rossetti@company.com,k5ndHUQZiA,"Rossetti, Bruno",39.0,Production       ,Production Technician I,Voluntarily Terminated,Kissy Sullivan
1410070998,1410070998,melinda.saar-beckles@company.com,%GlkOfCbcG,"Saar-Beckles, Melinda",57.8,Production       ,Production Technician I,Active,Kelley Spirea
1308060535,1308060535,nore.sadki@company.com,6&$ToPs45C,"Sadki, Nore  ",51.3,Production       ,Production Technician I,Voluntarily Terminated,Michael Albert
1302053362,1302053362,kamrin.sander@company.com,Z!ZsJ38s%6,"Sander, Kamrin",37.7,Production       ,Production Technician I,Active,Elijiah Gray
807010161,807010161,nori.sewkumar@company.com,YtPQanJkAh,"Sewkumar, Nori",51.1,Production       ,Production Technician I,Active,Webster Butler
1205033102,1205033102,seffi.shields@company.com,KZjzAGTc4l,"Shields, Seffi",40.6,Production       ,Production Technician I,Active,Amy Dunn
1501071909,1501071909,sade.smith@company.com,YsAxQB$SJI,"Smith, Sade",61.2,Production       ,Production Technician I,Active,Ketsia Liebig
1410071137,1410071137,taylor.sparks@company.com,dcme&!JUBj,"Sparks, Taylor  ",57.7,Production       ,Production Technician I,Active,Brannon Miller
1405067138,1405067138,kristen.squatrito@company.com,1ZunRlz6&L,"Squatrito, Kristen",53.0,Production       ,Production Technician I,Voluntarily Terminated,David Stanley
1111030244,1111030244,barbara  m.stanford@company.com,w9WJeh0iGe,"Stanford,Barbara  M",43.6,Production       ,Production Technician I,Active,Kissy Sullivan
1106026896,1106026896,rick.stoica@company.com,3FeB6^RG#W,"Stoica, Rick",41.1,Production       ,Production Technician I,Active,Kelley Spirea
1201031310,1201031310,timothy.sullivan@company.com,@#F^!jsZmb,"Sullivan, Timothy",43.5,Production       ,Production Technician I,Active,Michael Albert
