Employee Name,Employee Number,DOB,Sex,Date of Hire,Date of Termination,Reason For Term,Employment Status,Department,Position,Manager Name,Employee Source,Performance Score,Degree,Pay Grade,Communication-Before,Communication-After,Communication Traning,Leadership - Before,Leadership - After,Leadership Development,Mentoring Role,Engagement Score,IQ,Management
"King, Janet",1001495124,1954/9/21,Female,07/02/2012,,N/A - still employed,Active,Executive Office,President & CEO,Board of Directors,Headhunter,Fully Meets,Bachelor,6,,,,5,5,Yes,Both Mentor and Mentee,,125,Yes
"Zamora, Jennifer",1112030816,1979/8/30,Female,04/10/2010,,N/A - still employed,Active,IT/IS,CIO,Janet King,Employee Referral,Exceptional,Doctorate,6,4.64,5.00,Yes,4,4,No,Both Mentor and Mentee,4.62 ,175,Yes
"Becker, Renee",1102024056,1986/4/4,Female,07/07/2014,2015/9/12,performance,Terminated for Cause,IT/IS,Database Administrator,Simon Roup,Social Media,Fully Meets,Bachelor,2,2.34,2.46,No,,,,Mentee,2.83 ,101,No
"Goble, Taisha",905013738,1971/10/23,Female,02/16/2015,2015/3/15,attendance,Terminated for Cause,IT/IS,Database Administrator,Simon Roup,Social Media,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,2.80 ,149,No
"Hernandez, Daniff",1410071156,1986/8/7,Male,02/16/2015,2015/2/22,attendance,Terminated for Cause,IT/IS,,Simon Roup,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,91,No
"Horton, Jayne",1105025718,1984/2/21,Female,03/30/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Social Media,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,100,No
"Johnson, Noelle ",1003018246,1986/11/7,Female,01/05/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Social Media,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,125,No
"Murray, Thomas",1406068403,1988/7/4,Male,11/10/2014,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,Exceptional,Master,2,3.33,5.00,Yes,,,,Both Mentor and Mentee,4.41 ,140,No
"Pearson, Randall",1102023965,1984/9/5,Male,12/01/2014,2016/5/1,performance,Voluntarily Terminated,IT/IS,Database Administrator,Simon Roup,Social Media,Fully Meets,Bachelor,2,2.35,2.46,No,,,,Mentee,2.61 ,137,No
"Petrowsky, Thelma",1108027853,1984/9/16,Female,11/10/2014,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,Exceptional,Master,2,3.35,5.00,Yes,,,,Both Mentor and Mentee,4.41 ,186,No
"Roby, Lori ",1407068885,1981/10/11,Female,02/16/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Social Media,Fully Meets,Bachelor,2,2.36,2.47,No,,,,Mentee,3.40 ,137,No
"Rogers, Ivan",1203032255,1986/8/26,Male,03/30/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,98,No
"Salter, Jason",1111030148,1987/12/17,Male,01/05/2015,2015/10/31,hours,Voluntarily Terminated,IT/IS,Database Administrator,Simon Roup,Headhunter,N/A- too early to review,Master,2,,,,,,,Neither Mentor nor Mentee,,125,No
"Simard, Kramer",808010278,1970/2/8,Male,01/05/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,92,No
"Zhou, Julia",1110029732,1979/2/24,Female,03/30/2015,,N/A - still employed,Active,IT/IS,Database Administrator,Simon Roup,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,127,No
"Foss, Jason",1192991000,1980/7/5,Male,04/15/2011,,N/A - still employed,Active,IT/IS,IT Director,Jennifer Zamora,Employee Referral,Exceptional,Doctorate,5,4.32,5.00,Yes,4,5,Yes,Both Mentor and Mentee,4.58 ,189,Yes
"Roup,Simon",1106026933,1973/4/5,Male,01/20/2013,,N/A - still employed,Active,IT/IS,IT Manager,Jennifer Zamora,Headhunter,Fully Meets,Master,4,3.03,4.55,Yes,3,2,No,Both Mentor and Mentee,3.50 ,106,Yes
"Ruiz, Ricardo",1001175250,1964/1/4,Male,01/09/2012,2015/11/4,hours,Voluntarily Terminated,IT/IS,IT Manager,Jennifer Zamora,Website,Fully Meets,Bachelor,4,3.09,3.25,No,,,,Mentee,2.74 ,142,Yes
"Monroe, Peter",1011022863,1986/10/5,Male,02/15/2012,,N/A - still employed,Active,IT/IS,IT Manager,Jennifer Zamora,Job Fair,Fully Meets,Bachelor,4,2.98,4.47,Yes,2,2,No,Both Mentor and Mentee,3.54 ,99,Yes
"Dougall, Eric",1101023754,1970/7/9,Male,01/05/2014,,N/A - still employed,Active,IT/IS,IT Manager,Jennifer Zamora,Headhunter,Exceeds,Doctorate,4,3.53,5.00,Yes,3,5,Yes,Both Mentor and Mentee,3.95 ,148,Yes
"Clayton, Rick",1301052902,1985/9/5,Male,09/05/2012,,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Social Media,Fully Meets,Bachelor,2,2.38,2.49,No,,,,Mentee,3.52 ,142,No
"Galia, Lisa",1501072093,1968/7/6,Female,05/01/2010,,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Social Media,Fully Meets,Bachelor,2,2.50,2.62,No,,,,Mentee,3.62 ,96,No
"Lindsay, Leonara ",602000312,1988/10/5,Female,01/21/2011,,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Employee Referral,Exceeds,Bachelor,2,2.88,4.41,Yes,,,,Both Mentor and Mentee,4.09 ,155,No
"Soto, Julia ",1203032263,1973/3/12,Female,06/10/2011,,N/A - still employed,Active,IT/IS,IT Support,Eric Dougall,Social Media,Fully Meets,Bachelor,2,2.46,2.58,No,,,,Mentee,3.57 ,134,No
"Bacong, Alejandro ",1212052023,1988/1/7,Male,01/05/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Social Media,N/A- too early to review,Master,2,,,,,,,Mentee,,97,No
"Cisco, Anthony",1102024173,1989/11/24,Male,03/30/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,90,No
"Dolan, Linda",1101023540,1988/7/18,Female,01/05/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,94,No
"Gonzalez, Maria",1988299991,1981/4/16,Female,01/05/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Social Media,Fully Meets,Bachelor,2,2.36,2.48,No,,,,Mentee,3.41 ,146,No
"Merlos, Carlos",1012023013,1987/6/18,Male,03/30/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Headhunter,N/A- too early to review,Bachelor,2,,,,,,,Mentee,,93,No
"Morway, Tanya",1001956578,1979/4/4,Female,02/16/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Social Media,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.40 ,148,No
"Shepard, Anita ",906014183,1981/4/14,Female,09/30/2014,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Social Media,Fully Meets,Bachelor,2,2.37,2.48,No,,,,Mentee,3.42 ,116,No
"Tredinnick, Neville ",1104025466,1988/5/5,Male,01/05/2015,2015/5/12,medical issues,Voluntarily Terminated,IT/IS,Network Engineer,Peter Monroe,Social Media,Fully Meets,Bachelor,2,2.33,2.44,No,,,,Mentee,2.61 ,140,No
"Turpin, Jumil",1411071506,1969/3/31,Male,03/30/2015,,N/A - still employed,Active,IT/IS,Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review,Master,2,,,,,,,Mentee,,112,No
"Ait Sidi, Karthikeyan   ",1307060199,1975/5/5,Male,03/30/2015,2016/6/16,gross misconduct,Terminated for Cause,IT/IS,Sr. DBA,Simon Roup,Headhunter,Fully Meets,Master,3,2.69,2.82,No,,,,Mentee,2.80 ,116,No
"Carr, Claudia  N",1010022337,1986/6/6,Female,06/30/2016,,N/A - still employed,Active,IT/IS,Sr. DBA,Simon Roup,Headhunter,N/A- too early to review,Doctorate,3,,,,,,,Mentee,,95,No
"Favis, Donald  ",1412071562,1964/7/30,Male,02/17/2014,2016/2/19,hours,Terminated for Cause,IT/IS,Sr. DBA,Simon Roup,Headhunter,Fully Meets,Master,3,2.76,2.90,No,,,,Mentee,2.85 ,118,No
"Roehrich, Bianca",1111030266,1973/5/27,Female,01/05/2015,2015/11/10,career change,Voluntarily Terminated,IT/IS,Sr. DBA,Simon Roup,Headhunter,N/A- too early to review,Master,3,,,,,,,Neither Mentor nor Mentee,,106,No
"Daniele, Ann  ",1411071312,1952/1/18,Female,11/10/2014,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Social Media,Fully Meets,Master,3,2.81,2.95,No,,,,Mentee,3.41 ,128,No
"Lajiri,  Jyoti",1108028108,1986/4/23,Male,11/10/2014,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Headhunter,Fully Meets,Master,3,2.64,2.77,No,,,,Mentee,3.41 ,137,No
"Semizoglou, Jeremiah  ",904013591,1983/2/9,Male,06/30/2016,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Job Fair,N/A- too early to review,Master,3,,,,,,,Mentee,,110,No
"South, Joe",1308060959,1965/9/9,Male,11/10/2014,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Employee Referral,Exceeds,Master,3,3.24,4.96,Yes,,,,Both Mentor and Mentee,3.91 ,151,No
"Warfield, Sarah",1301052347,1978/5/2,Female,03/30/2015,,N/A - still employed,Active,IT/IS,Sr. Network Engineer,Peter Monroe,Employee Referral,N/A- too early to review,Master,3,,,,,,,Mentee,,98,No
"Bramante, Elisa",1006020066,1983/3/19,Female,01/05/2009,,N/A - still employed,Active,Production       ,Director of Operations,Janet King,Headhunter,Exceeds,Bachelor,5,3.85,5.00,Yes,3,5,Yes,Both Mentor and Mentee,4.18 ,147,Yes
"Albert, Michael  ",1501072311,1968/10/10,Male,08/01/2011,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.08,4.62,Yes,3,3,No,Both Mentor and Mentee,3.57 ,131,Yes
"Bozzi, Charles",1303054580,1970/3/10,Male,09/30/2013,2014/8/7,retiring,Voluntarily Terminated,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.04,3.19,No,,,,Mentee,2.66 ,138,Yes
"Butler, Webster  L",1110029990,1983/8/9,Male,01/28/2016,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Headhunter,Exceeds,Associate,4,3.43,5.00,Yes,4,4,Yes,Both Mentor and Mentee,3.86 ,114,Yes
"Dunn, Amy  ",1409070147,1973/11/28,Female,09/18/2014,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.00,4.50,Yes,3,3,No,Both Mentor and Mentee,3.42 ,141,Yes
"Gray, Elijiah  ",1307060077,1981/7/11,Male,06/02/2015,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,2.95,4.43,Yes,3,3,No,Both Mentor and Mentee,3.39 ,101,Yes
"Hogland, Jonathan ",1001944783,1972/7/1,Male,01/10/2011,2015/12/12,attendance,Terminated for Cause,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Bachelor,4,3.07,3.22,No,,,,Mentee,2.99 ,114,Yes
"Immediato, Walter",1403065874,1976/11/15,Male,02/21/2011,2012/9/24,unhappy,Voluntarily Terminated,Production       ,Production Manager,Janet King,Website,Needs Improvement,Bachelor,4,2.54,2.52,No,,,,Neither Mentor nor Mentee,2.18 ,98,Yes
"Liebig, Ketsia",1103024679,1981/10/26,Female,09/30/2013,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Headhunter,Exceeds,Master,4,3.48,5.00,Yes,3,5,Yes,Both Mentor and Mentee,3.96 ,157,Yes
"Miller, Brannon",1107027351,1981/8/10,Male,08/16/2012,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.00,4.49,Yes,3,4,Yes,Both Mentor and Mentee,3.52 ,116,Yes
"Peterson, Ebonee  ",1402065355,1977/5/9,Female,10/25/2010,2016/5/18,career change,Voluntarily Terminated,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Bachelor,4,3.05,3.20,No,,,,Mentee,2.80 ,146,Yes
"Spirea, Kelley",1102024149,1975/9/30,Female,10/02/2012,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.02,4.54,Yes,3,4,Yes,Both Mentor and Mentee,3.51 ,154,Yes
"Stanley, David ",1000974650,1975/12/17,Male,07/20/2010,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Job Fair,Needs Improvement,Bachelor,4,2.56,2.53,No,1,1,No,Both Mentor and Mentee,3.11 ,93,Yes
"Sullivan, Kissy ",1405067298,1978/3/28,Female,01/08/2009,,N/A - still employed,Active,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Master,4,3.07,4.60,Yes,3,4,Yes,Both Mentor and Mentee,3.68 ,114,Yes
"Wallace, Courtney  E",1410071026,1955/11/14,Female,09/26/2011,2012/1/2,career change,Voluntarily Terminated,Production       ,Production Manager,Janet King,Social Media,Fully Meets,Bachelor,4,3.14,3.30,No,,,,Neither Mentor nor Mentee,2.76 ,133,Yes
"Adinolfi, Wilson  K",1409070522,1983/7/10,Male,07/05/2011,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Employee Referral,Exceeds,Master,2,2.91,4.44,Yes,,,,Both Mentor and Mentee,4.07 ,119,No
"Alagbe,Trina",1011022883,1988/9/27,Female,01/07/2008,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Bachelor,2,2.43,2.55,No,,,,Mentee,3.73 ,141,No
"Anderson, Carol ",1001417624,1989/9/8,Female,07/11/2011,2011/9/6,return to school,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Employee Referral,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,111,No
"Anderson, Linda  ",1304055947,1977/5/22,Female,01/09/2012,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Employee Referral,Exceptional,Bachelor,2,3.43,5.00,Yes,,,,Both Mentor and Mentee,4.54 ,181,No
"Athwal, Sam",1301052124,1983/2/18,Male,09/30/2013,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Employee Referral,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.46 ,117,No
"Bachiochi, Linda",1212051409,1970/2/11,Female,07/06/2009,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Associate,2,2.50,2.63,No,,,,Mentee,3.66 ,134,No
"Baczenski, Rachael  ",1307060083,1974/1/12,Female,01/10/2011,2011/1/12,performance,Terminated for Cause,Production       ,Production Technician I,David Stanley,Job Fair,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,112,No
"Barbara, Thomas",1312063507,1974/2/21,Male,04/02/2012,2012/9/19,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,119,No
"Barone, Francesco  A",1101023679,1983/7/20,Male,02/20/2012,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Associate,2,2.39,2.51,No,,,,Mentee,3.54 ,90,No
"Barton, Nader",1212051962,1977/7/15,Male,09/24/2012,2013/4/6,career change,Voluntarily Terminated,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Associate,2,2.42,2.54,No,,,,Neither Mentor nor Mentee,2.71 ,109,No
"Beatrice, Courtney ",1403066194,1970/10/27,Female,04/04/2011,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.47,2.60,No,,,,Mentee,3.58 ,96,No
"Becker, Scott",1110029777,1979/4/6,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Associate,2,2.39,2.51,No,,,,Mentee,3.47 ,127,No
"Bernstein, Sean",1109029366,1970/12/22,Male,04/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Website,Fully Meets,Associate,2,2.46,2.58,No,,,,Mentee,3.53 ,110,No
"Biden, Lowan  M",1412071844,1958/12/27,Female,08/19/2013,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.49,2.62,No,,,,Mentee,3.47 ,96,No
"Billis, Helen",1308060366,1989/9/1,Female,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Headhunter,Exceeds,Associate,2,2.83,4.32,Yes,,,,Both Mentor and Mentee,3.93 ,147,No
"Brill, Donna",1406068293,1990/8/24,Female,04/02/2012,2013/6/15,career change,Voluntarily Terminated,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Bachelor,2,2.36,2.47,No,,,,Neither Mentor nor Mentee,2.73 ,104,No
"Bugali, Josephine ",1408069635,1969/10/30,Female,11/11/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Bachelor,2,2.44,2.56,No,,,,Mentee,3.46 ,114,No
"Carey, Michael  ",1311063114,1983/2/2,Male,03/31/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.36,2.48,No,,,,Mentee,3.44 ,139,No
"Chace, Beatrice ",1208048062,1951/1/2,Female,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Website,Fully Meets,Associate,2,2.52,2.64,No,,,,Mentee,3.42 ,125,No
"Chan, Lin",1305057282,1979/2/12,Female,05/12/2014,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.38,2.50,No,,,,Mentee,3.44 ,122,No
"Chang, Donovan  E",1111030129,1983/8/24,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Bachelor,2,2.37,2.49,No,,,,Mentee,3.47 ,108,No
"Chivukula, Enola",1101023394,1983/8/27,Female,06/27/2011,2015/11/15,relocation out of area,Voluntarily Terminated,Production       ,Production Technician I,Amy Dunn,Employee Referral,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,99,No
"Cierpiszewski, Caroline  ",1012023295,1988/5/31,Female,10/03/2011,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.38,2.49,No,,,,Mentee,3.56 ,116,No
"Clukey, Elijian",1407069280,1980/8/26,Male,07/06/2016,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Employee Referral,Exceeds,Bachelor,2,2.84,3.75,Yes,,,,Mentee,3.84 ,98,No
"Cockel, James",1599991009,1977/9/8,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.40,2.52,No,,,,Mentee,3.47 ,136,No
"Cole, Spencer",1001450968,1979/8/12,Male,07/11/2011,2012/9/23,performance,Terminated for Cause,Production       ,Production Technician I,Kissy Sullivan,Job Fair,Needs Improvement,Associate,2,1.92,1.90,No,,,,Neither Mentor nor Mentee,2.27 ,99,No
"Cornett, Lisa ",1403066069,1977/3/31,Female,01/05/2015,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,N/A- too early to review,Associate,2,,,,,,,Mentee,,109,No
"Crimmings,   Jean",1311063172,1987/4/10,Female,07/06/2016,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Employee Referral,N/A- too early to review,Associate,2,,,,,,,Mentee,,119,No
"Darson, Jene'ya ",1001109612,1978/11/5,Female,07/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,Elijiah Gray,Website,Fully Meets,Associate,2,2.41,2.53,No,,,,Mentee,3.52 ,133,No
"DeGweck,  James",1306058816,1977/10/31,Male,05/16/2011,2015/6/8,unhappy,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Bachelor,2,2.44,2.56,No,,,,Neither Mentor nor Mentee,2.47 ,133,No
"Desimone, Carl ",1501072124,1967/4/19,Male,07/07/2014,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Website,PIP,Associate,2,1.44,1.29,No,,,,Neither Mentor nor Mentee,2.73 ,120,No
"Dickinson, Geoff ",706006285,1982/11/15,Male,05/12/2014,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Associate,2,2.36,2.48,No,,,,Mentee,3.44 ,129,No
"DiNocco, Lily ",1209048696,1978/12/2,Female,01/07/2013,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Job Fair,Needs Improvement,Associate,2,1.90,1.88,No,,,,Mentee,3.00 ,97,No
"Dobrin, Denisa  S",1202031618,1986/10/7,Female,04/02/2012,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Website,Fully Meets,Associate,2,2.38,2.50,No,,,,Mentee,3.53 ,111,No
"Eaton, Marianne",1406067865,1991/9/5,Female,04/04/2011,2013/6/6,career change,Voluntarily Terminated,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.37,2.49,No,,,,Neither Mentor nor Mentee,2.78 ,116,No
"Engdahl, Jean",1007020403,1974/5/31,Male,11/10/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Mentee,3.41 ,125,No
"England, Rex",1101023612,1978/8/25,Male,03/31/2014,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Employee Referral,Fully Meets,Bachelor,2,2.39,2.51,No,,,,Mentee,3.44 ,148,No
"Estremera, Miguel",1104025243,1983/9/2,Male,04/02/2012,2014/9/27,attendance,Terminated for Cause,Production       ,Production Technician I,Michael Albert,Job Fair,Needs Improvement,Associate,2,1.89,1.87,No,,,,Neither Mentor nor Mentee,2.23 ,120,No
"Evensen, April",1107027392,1989/5/6,Female,02/17/2014,2014/2/25,attendance,Terminated for Cause,Production       ,Production Technician I,Elijiah Gray,Employee Referral,N/A- too early to review,Associate,2,,,,,,,Neither Mentor nor Mentee,,102,No
"Ferguson, Susan",1502072511,1955/4/14,Female,11/07/2011,2014/5/17,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Website,Fully Meets,Bachelor,2,2.54,2.67,No,,,,Neither Mentor nor Mentee,2.75 ,137,No
"Fernandes, Nilson  ",1302053339,1989/10/18,Male,05/11/2015,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Job Fair,N/A- too early to review,Associate,2,,,,,,,Mentee,,125,No
"Ferreira, Violeta",803009012,1986/6/10,Female,02/20/2012,,N/A - still employed,Active,Production       ,Production Technician I,Ketsia Liebig,Website,Fully Meets,Bachelor,2,2.38,2.50,No,,,,Mentee,3.54 ,117,No
"Fidelia,  Libby",1006020020,1981/3/16,Female,01/09/2012,,N/A - still employed,Active,Production       ,Production Technician I,Brannon Miller,Website,Fully Meets,Bachelor,2,2.41,2.53,No,,,,Mentee,3.54 ,97,No
"Garcia, Raul",1309061015,1985/9/15,Male,03/30/2015,,N/A - still employed,Active,Production       ,Production Technician I,David Stanley,Employee Referral,N/A- too early to review,Associate,2,,,,,,,Mentee,,117,No
"Garneau, Hamish",1104025414,1980/4/18,Male,07/08/2013,,N/A - still employed,Active,Production       ,Production Technician I,Kissy Sullivan,Website,Fully Meets,Associate,2,2.39,2.51,No,,,,Mentee,3.47 ,113,No
"Gaul, Barbara",1105026041,1983/12/2,Female,05/16/2011,,N/A - still employed,Active,Production       ,Production Technician I,Kelley Spirea,Website,Fully Meets,Bachelor,2,2.40,2.52,No,,,,Mentee,3.57 ,104,No
"Gentry, Mildred",1501072192,1990/10/1,Female,03/30/2015,,N/A - still employed,Active,Production       ,Production Technician I,Michael Albert,Job Fair,N/A- too early to review,Associate,2,,,,,,,Mentee,,113,No
"Gerke, Melisa",1308060622,1970/5/15,Female,11/07/2011,2011/11/15,hours,Voluntarily Terminated,Production       ,Production Technician I,Elijiah Gray,Job Fair,N/A- too early to review,Bachelor,2,,,,,,,Neither Mentor nor Mentee,,119,No
"Gilles, Alex",1008020960,1974/8/9,Male,04/02/2012,2015/6/25,career change,Voluntarily Terminated,Production       ,Production Technician I,Webster Butler,Job Fair,Needs Improvement,Associate,2,1.94,1.92,No,,,,Neither Mentor nor Mentee,2.23 ,96,No
"Girifalco, Evelyn",1204032927,1980/5/8,Female,09/29/2014,,N/A - still employed,Active,Production       ,Production Technician I,Amy Dunn,Employee Referral,Exceeds,Associate,2,2.87,3.79,Yes,,,,Mentee,3.92 ,99,No
